"method","uri","action","middleware"
"GET|HEAD","dashboard","App\Http\Controllers\DashboardController","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified"
"GET|HEAD","doctors/queue","App\Http\Controllers\DoctorQueueController@index","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-encounters | App\Http\Middleware\EnsureRole:doctor,super-admin,hospital-admin"
"GET|HEAD","doctors/queue/{triageAssessment}","App\Http\Controllers\DoctorQueueController@show","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-encounters | App\Http\Middleware\EnsureRole:doctor,super-admin,hospital-admin"
"POST","doctors/queue/{triageAssessment}/status","App\Http\Controllers\DoctorQueueController@updateStatus","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-encounters | App\Http\Middleware\EnsureRole:doctor,super-admin,hospital-admin"
"POST","email/verification-notification","App\Http\Controllers\Auth\EmailVerificationNotificationController@store","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Routing\Middleware\ThrottleRequests:6,1"
"GET|HEAD","emergency","App\Http\Controllers\EmergencyController@index","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-er"
"POST","emergency","App\Http\Controllers\EmergencyController@store","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-er"
"GET|HEAD","emergency/create","App\Http\Controllers\EmergencyController@create","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-er"
"POST","emergency/queue/{queue}/status","App\Http\Controllers\EmergencyController@queueStatus","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-er"
"GET|HEAD","emergency/{visit}","App\Http\Controllers\EmergencyController@show","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-er"
"POST","emergency/{visit}/triage","App\Http\Controllers\EmergencyController@triage","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-er"
"GET|HEAD","encounters","App\Http\Controllers\EncounterController@index","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-encounters"
"POST","encounters","App\Http\Controllers\EncounterController@store","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-encounters"
"GET|HEAD","encounters/create","App\Http\Controllers\EncounterController@create","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-encounters"
"GET|HEAD","encounters/{encounter}","App\Http\Controllers\EncounterController@show","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-encounters"
"POST","encounters/{encounter}/complete","App\Http\Controllers\EncounterController@complete","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-encounters"
"GET|HEAD","forgot-password","App\Http\Controllers\Auth\PasswordResetLinkController@create","web | Illuminate\Auth\Middleware\RedirectIfAuthenticated"
"POST","forgot-password","App\Http\Controllers\Auth\PasswordResetLinkController@store","web | Illuminate\Auth\Middleware\RedirectIfAuthenticated"
"GET|HEAD","inpatient","App\Http\Controllers\InpatientController@wards","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-beds | App\Http\Middleware\EnsureRole:nurse,super-admin,hospital-admin"
"GET|HEAD","login","App\Http\Controllers\Auth\AuthenticatedSessionController@create","web | Illuminate\Auth\Middleware\RedirectIfAuthenticated"
"POST","login","App\Http\Controllers\Auth\AuthenticatedSessionController@store","web | Illuminate\Auth\Middleware\RedirectIfAuthenticated"
"POST","logout","App\Http\Controllers\Auth\AuthenticatedSessionController@destroy","web | Illuminate\Auth\Middleware\Authenticate"
"GET|HEAD","mfa/challenge","App\Http\Controllers\Auth\AuthenticatedSessionController@mfaChallenge","web | Illuminate\Auth\Middleware\RedirectIfAuthenticated"
"POST","mfa/challenge","App\Http\Controllers\Auth\AuthenticatedSessionController@mfaVerify","web | Illuminate\Auth\Middleware\RedirectIfAuthenticated"
"GET|HEAD","outpatient","App\Http\Controllers\EncounterController@index","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-encounters"
"PUT","password","App\Http\Controllers\Auth\PasswordController@update","web | Illuminate\Auth\Middleware\Authenticate"
"GET|HEAD","patient-portal","App\Http\Controllers\PatientPortalController@dashboard","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:portal-dashboard | App\Http\Middleware\EnsureRole:patient"
"GET|HEAD","patient-portal/appointments","App\Http\Controllers\PatientPortalController@appointments","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:portal-dashboard | App\Http\Middleware\EnsureRole:patient"
"GET|HEAD","patient-portal/history","App\Http\Controllers\PatientPortalController@history","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:portal-dashboard | App\Http\Middleware\EnsureRole:patient"
"GET|HEAD","patient-portal/telehealth","App\Http\Controllers\PatientPortalController@telehealth","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:portal-dashboard | App\Http\Middleware\EnsureRole:patient"
"GET|HEAD","patients","App\Http\Controllers\PatientController@index","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-patients"
"POST","patients","App\Http\Controllers\PatientController@store","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-patients"
"GET|HEAD","patients/create","App\Http\Controllers\PatientController@create","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-patients"
"GET|HEAD","patients/lookup","App\Http\Controllers\PatientController@lookup","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | App\Http\Middleware\EnsureRole:registration,super-admin,hospital-admin"
"GET|HEAD","patients/profile","App\Http\Controllers\PatientController@profile","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | App\Http\Middleware\EnsureRole:patient"
"POST","patients/profile","App\Http\Controllers\PatientController@saveProfile","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | App\Http\Middleware\EnsureRole:patient"
"GET|HEAD","patients/vitals/{patient}","App\Http\Controllers\PatientController@showVitals","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-patients"
"GET|HEAD","patients/{patient}","App\Http\Controllers\PatientController@show","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-patients"
"POST","patients/{patient}/verify","App\Http\Controllers\PatientController@verify","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:create-patients"
"GET|HEAD","profile","App\Http\Controllers\ProfileController@edit","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified"
"PATCH","profile","App\Http\Controllers\ProfileController@update","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified"
"DELETE","profile","App\Http\Controllers\ProfileController@destroy","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified"
"GET|HEAD","profile/mfa","App\Http\Controllers\MfaController@show","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified"
"POST","profile/mfa/disable","App\Http\Controllers\MfaController@disable","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified"
"POST","profile/mfa/enable","App\Http\Controllers\MfaController@enable","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified"
"GET|HEAD","register","App\Http\Controllers\Auth\RegisteredUserController@create","web | Illuminate\Auth\Middleware\RedirectIfAuthenticated"
"POST","register","App\Http\Controllers\Auth\RegisteredUserController@store","web | Illuminate\Auth\Middleware\RedirectIfAuthenticated"
"GET|HEAD","reports","App\Http\Controllers\ReportController@index","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-reports"
"GET|HEAD","reports/appointments","App\Http\Controllers\ReportController@appointments","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-reports"
"GET|HEAD","reports/beds","App\Http\Controllers\ReportController@bedOccupancy","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-reports"
"GET|HEAD","reports/encounters","App\Http\Controllers\ReportController@encounters","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-reports"
"GET|HEAD","reports/er","App\Http\Controllers\ReportController@erVolume","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-reports"
"GET|HEAD","reports/patients","App\Http\Controllers\ReportController@patients","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-reports"
"GET|HEAD","reports/telehealth","App\Http\Controllers\ReportController@telehealth","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-reports"
"POST","reset-password","App\Http\Controllers\Auth\NewPasswordController@store","web | Illuminate\Auth\Middleware\RedirectIfAuthenticated"
"GET|HEAD","reset-password/{token}","App\Http\Controllers\Auth\NewPasswordController@create","web | Illuminate\Auth\Middleware\RedirectIfAuthenticated"
"GET|HEAD","sanctum/csrf-cookie","Laravel\Sanctum\Http\Controllers\CsrfCookieController@show","web"
"GET|HEAD","storage/{path}","Closure",""
"PUT","storage/{path}","Closure",""
"GET|HEAD","telehealth","App\Http\Controllers\TelehealthController@index","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-telehealth"
"GET|HEAD","telehealth/{session}","App\Http\Controllers\TelehealthController@show","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:view-telehealth"
"POST","telehealth/{session}/create-meeting","App\Http\Controllers\TelehealthController@createMeeting","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:start-telehealth"
"GET|HEAD","telehealth/{session}/join","App\Http\Controllers\TelehealthController@join","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:join-telehealth"
"GET|HEAD","triage","App\Http\Controllers\TriageAssessmentController@create","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:triage-patients"
"POST","triage","App\Http\Controllers\TriageAssessmentController@store","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:triage-patients"
"GET|HEAD","triage/create","App\Http\Controllers\TriageAssessmentController@create","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:triage-patients"
"GET|HEAD","triage/{triageAssessment}/er-intake","App\Http\Controllers\EmergencyController@createFromTriage","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Auth\Middleware\EnsureEmailIsVerified | Illuminate\Auth\Middleware\Authorize:triage-patients"
"GET|HEAD","up","Closure",""
"GET|HEAD","verify-email","App\Http\Controllers\Auth\EmailVerificationPromptController","web | Illuminate\Auth\Middleware\Authenticate"
"GET|HEAD","verify-email/{id}/{hash}","App\Http\Controllers\Auth\VerifyEmailController","web | Illuminate\Auth\Middleware\Authenticate | Illuminate\Routing\Middleware\ValidateSignature | Illuminate\Routing\Middleware\ThrottleRequests:6,1"
