"method","uri","action","middleware"
"POST","api/v1/appointments/{id}/check-in","App\Http\Controllers\Api\V1\AppointmentApiController@checkIn","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:cancel-appointments"
"POST","api/v1/appointments/{id}/no-show","App\Http\Controllers\Api\V1\AppointmentApiController@markNoShow","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:cancel-appointments"
"POST","api/v1/appointments/{id}/reschedule","App\Http\Controllers\Api\V1\AppointmentApiController@reschedule","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:cancel-appointments"
"POST","api/v1/auth/login","App\Http\Controllers\Api\V1\ApiAuthController@login","api | Illuminate\Routing\Middleware\ThrottleRequests:10,1"
"POST","api/v1/auth/logout","App\Http\Controllers\Api\V1\ApiAuthController@logout","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1"
"GET|HEAD","api/v1/auth/me","App\Http\Controllers\Api\V1\ApiAuthController@me","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1"
"GET|HEAD","api/v1/beds","App\Http\Controllers\Api\V1\BedApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-beds"
"GET|HEAD","api/v1/beds/available","App\Http\Controllers\Api\V1\BedApiController@available","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-beds"
"GET|HEAD","api/v1/beds/{id}","App\Http\Controllers\Api\V1\BedApiController@show","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-beds"
"POST","api/v1/beds/{id}/assign","App\Http\Controllers\Api\V1\BedApiController@assign","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:manage-beds"
"POST","api/v1/beds/{id}/release","App\Http\Controllers\Api\V1\BedApiController@release","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:manage-beds"
"POST","api/v1/beds/{id}/reserve","App\Http\Controllers\Api\V1\BedApiController@reserve","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:manage-beds"
"GET|HEAD","api/v1/dashboard","Closure","api | Illuminate\Auth\Middleware\Authenticate:sanctum"
"GET|HEAD","api/v1/departments","App\Http\Controllers\Api\V1\DepartmentApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:view-appointments"
"GET|HEAD","api/v1/departments/{id}","App\Http\Controllers\Api\V1\DepartmentApiController@show","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:view-appointments"
"GET|HEAD","api/v1/emergency/queue","App\Http\Controllers\Api\V1\EmergencyApiController@queue","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-er"
"POST","api/v1/emergency/visits","App\Http\Controllers\Api\V1\EmergencyApiController@storeVisit","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:create-er-visits"
"GET|HEAD","api/v1/emergency/visits/{id}","App\Http\Controllers\Api\V1\EmergencyApiController@showVisit","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-er"
"POST","api/v1/emergency/{id}/triage","App\Http\Controllers\Api\V1\TriageApiController@store","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:triage-patients"
"GET|HEAD","api/v1/encounters","App\Http\Controllers\Api\V1\EncounterApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-encounters"
"POST","api/v1/encounters","App\Http\Controllers\Api\V1\EncounterApiController@store","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:create-encounters"
"GET|HEAD","api/v1/encounters/{encounterId}/notes","App\Http\Controllers\Api\V1\EncounterNoteApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:view-encounters"
"POST","api/v1/encounters/{encounterId}/notes","App\Http\Controllers\Api\V1\EncounterNoteApiController@store","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:create-encounters"
"GET|HEAD","api/v1/encounters/{id}","App\Http\Controllers\Api\V1\EncounterApiController@show","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-encounters"
"GET|HEAD","api/v1/notifications","App\Http\Controllers\Api\V1\NotificationApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1"
"POST","api/v1/notifications/{id}/read","App\Http\Controllers\Api\V1\NotificationApiController@markRead","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1"
"GET|HEAD","api/v1/patients","App\Http\Controllers\Api\V1\PatientApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-patients"
"POST","api/v1/patients","App\Http\Controllers\Api\V1\PatientApiController@store","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:create-patients"
"GET|HEAD","api/v1/patients/search/{term}","App\Http\Controllers\Api\V1\PatientApiController@search","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-patients"
"GET|HEAD","api/v1/patients/{id}","App\Http\Controllers\Api\V1\PatientApiController@show","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:60,1 | Illuminate\Auth\Middleware\Authorize:view-patients"
"PUT","api/v1/patients/{id}","App\Http\Controllers\Api\V1\PatientApiController@update","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:update-patients"
"PATCH","api/v1/patients/{id}","App\Http\Controllers\Api\V1\PatientApiController@update","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:30,1 | Illuminate\Auth\Middleware\Authorize:update-patients"
"DELETE","api/v1/patients/{id}","App\Http\Controllers\Api\V1\PatientApiController@destroy","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Routing\Middleware\ThrottleRequests:10,1 | Illuminate\Auth\Middleware\Authorize:delete-patients"
"GET|HEAD","api/v1/patients/{patientId}/clinical-documents","App\Http\Controllers\Api\V1\ClinicalDocumentApiController@index","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:view-patients"
"POST","api/v1/patients/{patientId}/clinical-documents","App\Http\Controllers\Api\V1\ClinicalDocumentApiController@store","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:create-patients"
"GET|HEAD","api/v1/patients/{patientId}/clinical-documents/{id}","App\Http\Controllers\Api\V1\ClinicalDocumentApiController@show","api | Illuminate\Auth\Middleware\Authenticate:sanctum | Illuminate\Routing\Middleware\ThrottleRequests:120,1 | Illuminate\Auth\Middleware\Authorize:view-patients"
